seed,arm,lambda_group,K,bank,step,origin,subset_rank,positions,group_ES
2026,C2,0.03,32,0,2000,phase23_new,4,"[1, 3]",0.8312296509742737
2026,C2,0.03,32,0,2000,phase23_new,5,"[2, 3]",0.8356970131397248
2026,C2,0.03,32,1,2000,phase23_new,0,"[0, 1]",0.8503844231367111
2026,C2,0.03,32,1,2000,phase23_new,1,"[0, 2]",0.8521075129508973
2026,C2,0.03,32,1,2000,phase23_new,2,"[0, 3]",0.8499155282974243
2026,C2,0.03,32,1,2000,phase23_new,3,"[1, 2]",0.8474241375923157
2026,C2,0.03,32,1,2000,phase23_new,4,"[1, 3]",0.8481437414884567
2026,C2,0.03,32,1,2000,phase23_new,5,"[2, 3]",0.8506054550409317
2026,C2,0.1,32,0,2000,phase22_reused,0,"[0, 1]",0.8155835866928101
2026,C2,0.1,32,0,2000,phase22_reused,1,"[0, 2]",0.8192688435316086
2026,C2,0.1,32,0,2000,phase22_reused,2,"[0, 3]",0.8147143751382828
2026,C2,0.1,32,0,2000,phase22_reused,3,"[1, 2]",0.8102468460798263
2026,C2,0.1,32,0,2000,phase22_reused,4,"[1, 3]",0.8104892075061798
2026,C2,0.1,32,0,2000,phase22_reused,5,"[2, 3]",0.8175310760736465
2026,C2,0.1,32,1,2000,phase22_reused,0,"[0, 1]",0.8002756655216217
2026,C2,0.1,32,1,2000,phase22_reused,1,"[0, 2]",0.807099175453186
2026,C2,0.1,32,1,2000,phase22_reused,2,"[0, 3]",0.7994392067193985
2026,C2,0.1,32,1,2000,phase22_reused,3,"[1, 2]",0.7961699217557907
2026,C2,0.1,32,1,2000,phase22_reused,4,"[1, 3]",0.790931248664856
2026,C2,0.1,32,1,2000,phase22_reused,5,"[2, 3]",0.8019604355096817
2026,C2,0.3,32,0,2000,phase23_new,0,"[0, 1]",0.7601211696863175
2026,C2,0.3,32,0,2000,phase23_new,1,"[0, 2]",0.7609876453876495
2026,C2,0.3,32,0,2000,phase23_new,2,"[0, 3]",0.7600712329149246
2026,C2,0.3,32,0,2000,phase23_new,3,"[1, 2]",0.7514975726604461
2026,C2,0.3,32,0,2000,phase23_new,4,"[1, 3]",0.7510883867740631
2026,C2,0.3,32,0,2000,phase23_new,5,"[2, 3]",0.7555404752492905
2026,C2,0.3,32,1,2000,phase23_new,0,"[0, 1]",0.7621528565883636
2026,C2,0.3,32,1,2000,phase23_new,1,"[0, 2]",0.7634911715984345
2026,C2,0.3,32,1,2000,phase23_new,2,"[0, 3]",0.7630808860063553
2026,C2,0.3,32,1,2000,phase23_new,3,"[1, 2]",0.754647022485733
2026,C2,0.3,32,1,2000,phase23_new,4,"[1, 3]",0.7540011912584305
2026,C2,0.3,32,1,2000,phase23_new,5,"[2, 3]",0.7591300457715988
