arm,step,index,max_chunk_error,old_strict_pass,fp64_chunk_max,fp32_to_fp64_max,multi_FRC_chunk_error,single_FRC_chunk_error,boundary_abs_change,interior_abs_change
C1,500,65,1.2367963790893555e-06,True,,,,,0.018195785582065582,0.052265916019678116
C1,500,66,1.4454126358032227e-06,True,,,,,0.04587245360016823,0.04595495015382767
C1,500,67,1.4528632164001465e-06,True,,,,,0.03300509601831436,0.048644546419382095
C1,500,68,1.3262033462524414e-06,True,,,,,0.03783944249153137,0.018480144441127777
C1,500,69,1.4156103134155273e-06,True,,,,,0.016629839316010475,0.007838452234864235
C1,500,70,1.1026859283447266e-06,True,,,,,0.019477689638733864,0.008570182137191296
C1,500,71,1.3113021850585938e-06,True,,,,,0.02058425173163414,0.009561573155224323
C1,500,72,1.4454126358032227e-06,True,,,,,0.04485560208559036,0.02002890035510063
C1,500,73,1.5869736671447754e-06,True,,,,,0.042312901467084885,0.022589534521102905
C1,500,74,1.6689300537109375e-06,True,,,,,0.048921819776296616,0.030431844294071198
C1,500,75,1.996755599975586e-06,True,,,,,0.053791653364896774,0.025203388184309006
C1,500,76,1.7136335372924805e-06,True,,,,,0.04015205800533295,0.024545444175601006
C1,500,77,1.4640390872955322e-06,True,,,,,0.06854134052991867,0.03728092089295387
C1,500,78,1.8142163753509521e-06,True,,,,,0.05507856234908104,0.024571646004915237
C1,500,79,1.4007091522216797e-06,True,,,,,0.05254681408405304,0.04173076152801514
C0,500,0,2.175569534301758e-06,True,,,,,0.0281070526689291,0.017164111137390137
C0,500,1,1.9669532775878906e-06,True,,,,,0.036582279950380325,0.032906968146562576
C0,500,2,1.9371509552001953e-06,True,,,,,0.041985299438238144,0.02366255596280098
C0,500,3,2.473592758178711e-06,True,,,,,,0.02813093550503254
C0,500,4,1.817941665649414e-06,True,,,,,0.11011803895235062,0.017910685390233994
C0,500,5,1.430511474609375e-06,True,,,,,0.052992288023233414,0.027927866205573082
C0,500,6,2.168118953704834e-06,True,,,,,0.05733035132288933,0.02186458744108677
C0,500,7,2.3245811462402344e-06,True,,,,,0.08363795280456543,0.019575148820877075
C0,500,8,1.471489667892456e-06,True,,,,,0.0835515707731247,0.01637101173400879
C0,500,9,1.5348196029663086e-06,True,,,,,0.1377602070569992,0.019060874357819557
C0,500,10,1.5422701835632324e-06,True,,,,,0.10721918195486069,0.019275352358818054
C0,500,11,1.6391277313232422e-06,True,,,,,0.16775135695934296,0.021884439513087273
C0,500,12,1.6652047634124756e-06,True,,,,,0.0744849145412445,0.012128294445574284
C0,500,13,1.5497207641601562e-06,True,,,,,0.06869624555110931,0.009976315312087536
C0,500,14,1.7881393432617188e-06,True,,,,,0.06510420143604279,0.011054063215851784
C0,500,15,1.7825514078140259e-06,True,,,,,0.044194404035806656,0.01826505921781063
C0,500,16,1.6987323760986328e-06,True,,,,,0.05992759019136429,0.014925623312592506
C0,500,17,1.6987323760986328e-06,True,,,,,0.07854581624269485,0.016688168048858643
