seed,arm,lambda_group,input_index,frames,K,boundary_abs_change,interior_abs_change,finite,domain,candidate_consistency_max_error
123,C1,0.1,37,600,10,,0.03168980032205582,True,True,1.430511474609375e-06
123,C1,0.1,38,543,10,,0.02534291334450245,True,True,9.834766387939453e-07
123,C1,0.1,39,516,10,,0.029134288430213928,True,True,1.043081283569336e-06
123,C1,0.1,40,271,10,,0.021729597821831703,True,True,1.1622905731201172e-06
123,C1,0.1,41,511,10,,0.020870955660939217,True,True,8.642673492431641e-07
123,C1,0.1,42,1350,10,0.06888400763273239,0.02511690929532051,True,True,1.1324882507324219e-06
123,C1,0.1,43,1056,10,0.08101160824298859,0.027553988620638847,True,True,9.387731552124023e-07
123,C1,0.1,44,2403,10,0.059170980006456375,0.022606652230024338,True,True,1.0132789611816406e-06
123,C1,0.1,45,2251,10,0.053818151354789734,0.02617657370865345,True,True,1.1026859283447266e-06
123,C1,0.1,46,3687,10,0.05109502375125885,0.021016106009483337,True,True,1.12876296043396e-06
123,C1,0.1,47,1800,10,0.0588444247841835,0.025365203619003296,True,True,1.043081283569336e-06
123,C1,0.1,48,935,10,0.03953541815280914,0.0273448433727026,True,True,1.087784767150879e-06
123,C1,0.1,49,1234,10,0.04359022155404091,0.02448952943086624,True,True,9.685754776000977e-07
123,C1,0.1,50,1231,10,0.05791027098894119,0.02836059220135212,True,True,1.2218952178955078e-06
123,C1,0.1,51,1134,10,0.05303759127855301,0.028463995084166527,True,True,1.1026859283447266e-06
123,C1,0.1,52,5696,10,0.07100329548120499,0.019562048837542534,True,True,1.080334186553955e-06
