arm,step,source,group,weight,total,DC,slow,fast
B0-fixed,1000,0,expression,0.32,0.0770555403844496,0.033193244759087324,0.03839314781924491,0.005469147806117373
B0-fixed,1000,1,AU,0.6,0.1292531408677836,0.04394430751055345,0.07226592030217302,0.01304291305505715
B0-fixed,1000,1,VA,0.08,0.02390150813568949,0.008789383578578044,0.013282118938330301,0.001830005618781141
B0-fixed,1000,1,expression,0.32,0.08878634542371551,0.04246073945400338,0.041607028380299886,0.004718577589412233
B0-fixed,1000,2,AU,0.6,0.11906731678264759,0.047455688017212165,0.061030879674248625,0.01058074909118681
B0-fixed,1000,2,VA,0.08,0.027061010528914263,0.011561284995809745,0.013580275371747576,0.0019194501613569385
B0-fixed,1000,2,expression,0.32,0.06002046888167696,0.020677830998313423,0.03428848851281133,0.0050541493705521965
B0-fixed,1000,3,AU,0.6,0.12355962867828338,0.04070936267174262,0.07240646122049134,0.010443804786049398
B0-fixed,1000,3,VA,0.08,0.02002048657236468,0.006704485689222951,0.011974158943102955,0.0013418419400387717
B0-fixed,1000,3,expression,0.32,0.06782341251611355,0.02459080615314842,0.03916252830843139,0.004070078054533747
B0-fixed,1000,4,AU,0.6,0.09970967028994553,0.034125519868820335,0.05619930685707885,0.009384843564046357
B0-fixed,1000,4,VA,0.08,0.020934790380102732,0.008548048659995755,0.01051016710672575,0.0018765746133812317
B0-fixed,1000,4,expression,0.32,0.06322431742137576,0.027892951925651492,0.030484286716564696,0.004847078779159575
B0-fixed,1000,5,AU,0.6,0.08936597277300991,0.029782844525039404,0.05357834436291631,0.006004783885054202
