arm,index,session,length,covariance_RMSE,autocorr_lag1_MAE,autocorr_lag1_valid_channels,autocorr_lag10_MAE,autocorr_lag10_valid_channels,autocorr_lag30_MAE,autocorr_lag30_valid_channels
C0,50,session2,1231,0.02447152884946777,0.1988435712837373,11,0.16396868649998012,11,0.147965728995439,11
C1,50,session2,1231,0.0169169774990345,0.2806466473223002,11,0.15556536739007523,11,0.2073977409559037,11
C2,50,session2,1231,0.017432859675186572,0.3795809569834718,11,0.17606326261577887,11,0.23184069294538218,11
C0,51,session2,1134,0.023806036403549707,0.18569481954953482,12,0.17410567895024584,12,0.13974664241915108,11
C1,51,session2,1134,0.017004987947457036,0.28991210179375154,12,0.13953907402982527,12,0.18412722509874865,11
C2,51,session2,1134,0.016917761287923255,0.3017445715994876,12,0.13914875487492429,12,0.1898851176914956,11
C0,52,session21,5696,0.026124864180951602,0.08288473458538241,18,0.22663452092819514,18,0.2859023907781453,18
C1,52,session21,5696,0.02089403067333033,0.15411122295841584,18,0.18747863521439995,18,0.2562473215710078,18
C2,52,session21,5696,0.020310351984716528,0.21409645734109425,18,0.1772222142101531,18,0.24263963453147394,18
C0,53,session21,5943,0.02654674020141137,0.0927367958357382,18,0.2013077259224073,18,0.22916624353178422,18
C1,53,session21,5943,0.022261437558412978,0.13442665462089692,18,0.1702026180667468,18,0.2446567056003778,18
C2,53,session21,5943,0.02012658426692884,0.22682042601459657,18,0.1396728665705228,18,0.22758055533597166,18
C0,54,session21,3480,0.02895718725666909,0.13716869982908436,15,0.16842066859342317,15,0.16806703253327643,15
C1,54,session21,3480,0.021630680880612842,0.18229864611226546,15,0.1405070797723078,15,0.22062816747074498,15
C2,54,session21,3480,0.021914673366336554,0.2485833440364373,15,0.12380382047947713,15,0.21153401444752465,15
C0,55,session21,3505,0.029633470375730487,0.10285880246766284,18,0.21649813605495224,18,0.27501399391007464,18
C1,55,session21,3505,0.023853949635766432,0.13314715528723492,18,0.1921314121844207,18,0.27576115969101966,18
C2,55,session21,3505,0.02257391357585384,0.19946100591319013,18,0.17916155849814752,18,0.28659606233000445,18
C0,56,session3,989,0.029045966836627475,0.1711516023413899,11,0.14364348615613046,11,0.13523912205223032,11
C1,56,session3,989,0.02231048291345827,0.3086942608032272,11,0.1191527431974988,11,0.15417133936430175,11
C2,56,session3,989,0.023094691638261656,0.4902168389447478,11,0.17600984559408908,11,0.15179927764705417,11
C0,57,session3,1015,0.031012740858482966,0.22835543063308053,10,0.2286827548367031,10,0.17308879505810776,10
C1,57,session3,1015,0.028422437464246022,0.3306225110805392,10,0.15534926084507084,10,0.16501071993791155,10
C2,57,session3,1015,0.026488394114409574,0.3922719348905751,10,0.15693641982814835,10,0.14682549752099047,10
C0,58,session3,1198,0.030772555718362998,0.207998396295895,11,0.18154953319907244,11,0.1513043510677931,11
C1,58,session3,1198,0.02305880414422805,0.30630153497316875,11,0.11175407715715734,11,0.1284950614255578,11
C2,58,session3,1198,0.024125952802861953,0.32094386415566495,11,0.1409285497777809,11,0.17507135607566712,11
C0,59,session3,929,0.032462927362481596,0.2115056018352191,11,0.20861825471547518,11,0.191914741464815,11
C1,59,session3,929,0.026462973307514633,0.2995415599947191,11,0.15313312451288597,11,0.17934650308807068,11
C2,59,session3,929,0.027469842546990444,0.36611544652920974,11,0.16386999957248663,11,0.19636866484712243,11
C0,60,session4,1892,0.031594659918019026,0.104360050279376,14,0.17066937114492972,14,0.24239445196060228,14
C1,60,session4,1892,0.02652587089130998,0.2383108081559951,14,0.15226707079018387,14,0.23576456691031342,14
C2,60,session4,1892,0.02509558140758819,0.3289583717168932,14,0.12540768806334632,14,0.21901015919932584,14
C0,61,session4,3455,0.03353293715721966,0.07724674679718832,15,0.22470850216893742,15,0.2803511372383377,15
C1,61,session4,3455,0.02880211796120478,0.2573127167018475,15,0.16139846475150094,15,0.23352963396345425,15
C2,61,session4,3455,0.02869232054419377,0.4453327313908942,15,0.08621247520875891,15,0.13652245157954765,15
C0,62,session4,3334,0.03377822509824918,0.05781013300747151,14,0.2936895884310638,14,0.3470784130046324,14
C1,62,session4,3334,0.031019816762246487,0.10102517169380201,14,0.19735382349497774,14,0.25876583842660533,14
C2,62,session4,3334,0.03072393140916392,0.12735142017342707,14,0.20383474294342604,14,0.2719895693766356,14
C0,63,session4,3599,0.028488315328103985,0.09562615414054773,17,0.16551715466288477,17,0.21712526665407636,17
C1,63,session4,3599,0.025026595117998093,0.19078423930507557,17,0.13527728266210923,17,0.2198182418680751,17
C2,63,session4,3599,0.024673721707230412,0.2831824079337238,17,0.09781627101236055,17,0.1818528488623034,17
C0,64,session5,2610,0.024336341188950304,0.15443635339262804,12,0.1610535855613248,12,0.14654526222224887,12
C1,64,session5,2610,0.020341214789015693,0.2273103157095121,12,0.1326908495633733,12,0.16181950213221505,12
C2,64,session5,2610,0.017741115869144175,0.29100025250237216,12,0.11263994715969683,12,0.15917506984604354,12
C0,65,session5,1685,0.027587092791126602,0.2234923085728174,12,0.2099448443991748,12,0.15415366581158482,12
