pairing,model,source,candidate,target,target_switched,ccc
A_native,G0-local,7,7,2,0,0.09055467298560826
A_native,G0-local,7,8,8,0,0.13655862792352516
A_native,G0-local,7,9,2,0,0.07402682349893251
B_fixed_G0,G0-local,7,0,8,0,0.09186504292713563
B_fixed_G0,G0-local,7,1,8,0,0.11360536968227816
B_fixed_G0,G0-local,7,2,5,0,0.06803929349226465
B_fixed_G0,G0-local,7,3,8,0,0.09332501618255674
B_fixed_G0,G0-local,7,4,0,0,0.11988258061585755
B_fixed_G0,G0-local,7,5,3,0,0.08453826367070605
B_fixed_G0,G0-local,7,6,2,0,0.09912208423638795
B_fixed_G0,G0-local,7,7,2,0,0.09055467298560826
B_fixed_G0,G0-local,7,8,8,0,0.13655862792352516
B_fixed_G0,G0-local,7,9,2,0,0.07402682349893251
A_native,G1-shared,7,0,8,0,0.08222642202532607
A_native,G1-shared,7,1,5,1,0.04275350757797242
A_native,G1-shared,7,2,0,1,0.07411361901947564
A_native,G1-shared,7,3,1,1,0.08460964548523195
A_native,G1-shared,7,4,0,0,0.12741519036277033
A_native,G1-shared,7,5,2,1,0.06130532479689951
A_native,G1-shared,7,6,2,0,0.05340099024504414
A_native,G1-shared,7,7,8,1,0.0862789522601519
A_native,G1-shared,7,8,8,0,0.10116323716843388
A_native,G1-shared,7,9,2,0,0.08529558981202082
B_fixed_G0,G1-shared,7,0,8,0,0.08222642202532607
B_fixed_G0,G1-shared,7,1,8,1,0.008066156380299864
B_fixed_G0,G1-shared,7,2,5,1,0.02151710743540423
B_fixed_G0,G1-shared,7,3,8,1,0.020160456287728577
B_fixed_G0,G1-shared,7,4,0,0,0.12741519036277033
B_fixed_G0,G1-shared,7,5,3,1,0.04757472142463672
B_fixed_G0,G1-shared,7,6,2,0,0.05340099024504414
B_fixed_G0,G1-shared,7,7,2,1,0.07262059996454974
B_fixed_G0,G1-shared,7,8,8,0,0.10116323716843388
B_fixed_G0,G1-shared,7,9,2,0,0.08529558981202082
A_native,T0,8,0,8,1,0.04947468553432881
A_native,T0,8,1,1,0,0.05282283733237944
A_native,T0,8,2,1,0,0.07264892447694124
A_native,T0,8,3,3,1,0.06081252255629624
A_native,T0,8,4,1,0,0.0804984694032224
A_native,T0,8,5,3,1,0.05846269090718382
A_native,T0,8,6,8,1,0.05545454363353665
A_native,T0,8,7,1,0,0.07149621545105106
A_native,T0,8,8,1,1,0.09433374133561312
A_native,T0,8,9,0,0,0.05882774147760105
B_fixed_G0,T0,8,0,0,1,0.03761689131442702
B_fixed_G0,T0,8,1,1,0,0.05282283733237944
