model,source,group,left_block,right_block,left_frames,right_frames,candidate_covariance,correlation,undefined_fraction
T0,7,expression,1,2,750,422,0.0007621360070346473,0.10045650105631014,0.0
G0-local,7,AU,0,1,750,750,0.0009520361134230091,0.029320096688051845,0.0
G0-local,7,AU,1,2,750,422,-0.00022088863247089085,-0.09266840052928757,0.0
G0-local,7,VA,0,1,750,750,0.00023969315710167512,0.4071998085588432,0.0
G0-local,7,VA,1,2,750,422,6.683880324448437e-05,0.05486402825010114,0.0
G0-local,7,expression,0,1,750,750,0.002431440916296707,0.48772940969301787,0.0
G0-local,7,expression,1,2,750,422,0.0012966856606381352,0.18321262295434398,0.0
G1-shared,7,AU,0,1,750,750,0.025409775042702656,0.8861120224816535,0.0
G1-shared,7,AU,1,2,750,422,0.028510631545709833,0.7734746387046997,0.0
G1-shared,7,VA,0,1,750,750,0.01912107977785259,0.9775824903608676,0.0
G1-shared,7,VA,1,2,750,422,0.02300133850922074,0.9743403016996552,0.0
G1-shared,7,expression,0,1,750,750,0.018352397533063367,0.8617299405280557,0.0
G1-shared,7,expression,1,2,750,422,0.02463379237062837,0.812262458528142,0.0
T0,8,AU,0,1,750,750,0.001212326603764495,-0.05762829768110103,0.0
T0,8,AU,1,2,750,568,0.0007910364900372962,-0.11872835031107377,0.0
T0,8,VA,0,1,750,750,0.0003454800582256499,0.22385883251585395,0.0
T0,8,VA,1,2,750,568,0.0004415530330154607,0.21275279166068586,0.0
T0,8,expression,0,1,750,750,-0.0005145014746494689,-0.04389883878002169,0.0
T0,8,expression,1,2,750,568,0.002628240286234954,0.08359161748504139,0.0
G0-local,8,AU,0,1,750,750,0.0003591708730261064,-0.08303740196499758,0.0
G0-local,8,AU,1,2,750,568,0.0010031123702101486,-0.10543641440548197,0.0
G0-local,8,VA,0,1,750,750,0.00019833472877195255,0.2662690012587459,0.0
G0-local,8,VA,1,2,750,568,0.00040709687236060614,0.33090939797926056,0.0
G0-local,8,expression,0,1,750,750,-0.0006129221245634632,-0.07297914143030328,0.0
G0-local,8,expression,1,2,750,568,0.0023429298352796177,0.27955706550218384,0.0
G1-shared,8,AU,0,1,750,750,0.019312561296637283,0.7295788688956726,0.0
G1-shared,8,AU,1,2,750,568,0.023182641259617158,0.8098609565840551,0.0
G1-shared,8,VA,0,1,750,750,0.007947161177879804,0.975311942476002,0.0
G1-shared,8,VA,1,2,750,568,0.0078045614668904905,0.9680300270063327,0.0
G1-shared,8,expression,0,1,750,750,0.009055286007935053,0.8488149626296415,0.0
G1-shared,8,expression,1,2,750,568,0.01589071797984864,0.9317154690873726,0.0
T0,9,AU,0,1,750,747,0.0020013322599944793,0.1820702536766375,0.0
T0,9,VA,0,1,750,747,0.0008656943296001104,0.37766104279347257,0.0
T0,9,expression,0,1,750,747,0.0020916746396900444,0.23536097630385872,0.0
G0-local,9,AU,0,1,750,747,0.0016786252302252876,0.17885815892048285,0.0
G0-local,9,VA,0,1,750,747,0.0004184652013579796,0.369378634597201,0.0
G0-local,9,expression,0,1,750,747,0.00043016336509071965,0.17727314409483802,0.0
G1-shared,9,AU,0,1,750,747,0.013502357308694727,0.7342701121746811,0.0
G1-shared,9,VA,0,1,750,747,0.012394872144269709,0.9849893638292644,0.0
G1-shared,9,expression,0,1,750,747,0.008425870447918298,0.7805074437773784,0.0
T0,10,AU,0,1,750,750,0.0025152489925986047,0.06658188755470745,0.0
T0,10,AU,1,2,750,58,0.003338255269414179,0.1484306501950053,0.0
T0,10,VA,0,1,750,750,-0.0013630259130027306,-0.21684378480920133,0.0
T0,10,VA,1,2,750,58,0.0016862512704493818,-0.02147358323285878,0.0
T0,10,expression,0,1,750,750,0.0004525903484083936,-0.00982286094456904,0.0
T0,10,expression,1,2,750,58,0.0009140073061133953,0.15822388827368405,0.0
G0-local,10,AU,0,1,750,750,0.0015359049942846375,0.08313500622198869,0.0
G0-local,10,AU,1,2,750,58,0.0011083161554246422,0.10056740464955229,0.0
G0-local,10,VA,0,1,750,750,-0.0004838553122606557,-0.2202660783180926,0.0
G0-local,10,VA,1,2,750,58,0.0007456473048129978,-0.059304246642491565,0.0
G0-local,10,expression,0,1,750,750,0.00047800687423600564,0.18975954137793366,0.0
G0-local,10,expression,1,2,750,58,0.0007064269234373138,0.09679731565175474,0.0
G1-shared,10,AU,0,1,750,750,0.028425024888556014,0.7057297737913469,0.0
G1-shared,10,AU,1,2,750,58,0.023563185115547395,0.6383725959977113,0.0
G1-shared,10,VA,0,1,750,750,0.007573137977272849,0.9697492661620292,0.0
G1-shared,10,VA,1,2,750,58,0.01069002444058159,0.792021187877701,0.0
G1-shared,10,expression,0,1,750,750,0.019341954191792615,0.7913512598635292,0.0
G1-shared,10,expression,1,2,750,58,0.018937015469828924,0.7080832290340714,0.0
T0,11,AU,0,1,750,477,0.00044089649181644984,-0.046036063465362854,0.0
T0,11,VA,0,1,750,477,0.0012127097872480326,0.41114035303043395,0.0
T0,11,expression,0,1,750,477,0.002255394850287188,0.23638017894824143,0.0
G0-local,11,AU,0,1,750,477,0.00030999317910516066,0.12042999491043913,0.0
G0-local,11,VA,0,1,750,477,0.000498037408787505,0.36507056335386723,0.0
G0-local,11,expression,0,1,750,477,0.002372772240398018,0.42862311990157564,0.0
G1-shared,11,AU,0,1,750,477,0.010037309692003423,0.5667569468010737,0.0
G1-shared,11,VA,0,1,750,477,0.004946415046571681,0.8942809542795721,0.0
G1-shared,11,expression,0,1,750,477,0.0056038333094533665,0.813035519891033,0.0
T0,12,AU,0,1,750,750,0.0015542520523142873,0.18799615799562636,0.0
T0,12,AU,1,2,750,750,0.0020556226893777385,0.06410978102546071,0.0
T0,12,AU,2,3,750,750,0.0008198452500813057,-0.07528974258600717,0.0
