source,group,left_block,right_block,left_frames,right_frames,candidate_covariance,correlation
62,AU,3,4,750,334,0.010881904121345024,0.913910363654735
62,VA,0,1,750,750,0.0051356142058022036,1.4448417886715574
62,VA,1,2,750,750,0.0042063536586586184,0.9693877671372471
62,VA,2,3,750,750,0.005187811925365963,1.0793776821560213
62,VA,3,4,750,334,0.004528358761230883,0.551093583637869
62,expression,0,1,750,750,0.007102084363847108,0.9356589565377917
62,expression,1,2,750,750,0.012762731458894068,1.1119072015848896
62,expression,2,3,750,750,0.011276488131907991,0.6828687018467057
62,expression,3,4,750,334,0.009077887664994053,0.7486112253329449
63,AU,0,1,750,750,0.02454406490802444,1.0191747015904986
63,AU,1,2,750,750,0.02665920047328579,0.7861739887563852
63,AU,2,3,750,750,0.03060678644693158,0.7564504587781028
63,AU,3,4,750,599,0.029130383723324205,0.8499283533442191
63,VA,0,1,750,750,0.006535422501841689,0.9808970731841589
63,VA,1,2,750,750,0.006384368100660208,0.909705720597125
63,VA,2,3,750,750,0.006784552174152678,1.0914732236414115
63,VA,3,4,750,599,0.006756591749198133,0.8295325786889225
63,expression,0,1,750,750,0.020828919413891093,0.9580897140296483
63,expression,1,2,750,750,0.023721152481152395,0.9224484152297553
63,expression,2,3,750,750,0.030230768237280155,1.0542292014588281
63,expression,3,4,750,599,0.021877055534556083,0.7978480662586158
64,AU,0,1,750,750,0.015352732564409175,0.7206499304966906
64,AU,1,2,750,750,0.01869499215115038,0.9396807848915698
64,AU,2,3,750,360,0.019143676699856463,0.7880638891635973
64,VA,0,1,750,750,0.012431046667025825,0.5493060282972113
64,VA,1,2,750,750,0.011767852569754081,0.9898190963134479
64,VA,2,3,750,360,0.010786920784707825,1.1395448718581378
64,expression,0,1,750,750,0.017968827815123697,0.8169657878097784
64,expression,1,2,750,750,0.01566129842410721,0.8427564294406499
64,expression,2,3,750,360,0.013484991269188265,0.878083464515545
65,AU,0,1,750,750,0.011162620372889719,0.6992108456256461
65,AU,1,2,750,185,0.020177143349918644,0.7717801591111194
65,VA,0,1,750,750,0.00295206276870237,0.7863226975694336
65,VA,1,2,750,185,0.003675304761329018,1.0455321239177666
65,expression,0,1,750,750,0.005729395475060966,0.8136474705085932
65,expression,1,2,750,185,0.00838968827251647,0.8258496645783825
66,AU,0,1,750,750,0.010178719724833928,0.5668651131706233
66,AU,1,2,750,750,0.015731279672463228,0.7165753206308837
66,AU,2,3,750,363,0.011290020902241845,0.6362034142114197
66,VA,0,1,750,750,0.005329653272464078,1.1981341481114116
66,VA,1,2,750,750,0.00458330102459137,0.47894240019260026
66,VA,2,3,750,363,0.004804516012086373,0.9409672062310623
66,expression,0,1,750,750,0.014303073602933807,0.7327692868000191
66,expression,1,2,750,750,0.01752695230068341,0.7703221833379753
66,expression,2,3,750,363,0.020466741272437142,0.8703842475350854
67,AU,0,1,750,750,0.012752882464023705,0.5604999265351628
67,AU,1,2,750,209,0.020981584881857227,0.8166144839462807
67,VA,0,1,750,750,0.00938441820454208,0.845113667869819
67,VA,1,2,750,209,0.01321992980861789,0.9721299415017592
67,expression,0,1,750,750,0.016125171431810508,0.7151460413251963
67,expression,1,2,750,209,0.0255625700878676,0.8243881491713778
68,AU,0,1,750,750,0.010831459744234108,0.38140731414492823
68,AU,1,2,750,750,0.013414469346802483,0.5713589898628663
68,AU,2,3,750,750,0.01365648413591845,0.7398181267301296
68,AU,3,4,750,750,0.021597814636361748,1.0075155072907729
68,AU,4,5,750,750,0.017351863525582607,0.7741363654776994
68,AU,5,6,750,58,0.014501899863523352,0.3599917784383301
