arm,step,input_index,group,candidate_mse_offdiag,centered_candidate_mse_offdiag,temporal_variance,speed_abs,near_duplicate_pairs_mse_lt_1e_8,minimum,maximum
MAM,archive,44,VA,0.12495382102363096,0.006973151201418335,0.03348564054100365,0.02982324426527727,0,-0.757072389125824,0.937282919883728
MAM,archive,44,expression,0.12208572219539275,0.030344315616690754,0.025048717277600295,0.013633145058846637,0,8.977893983797003e-09,0.9999923706054688
MAM,archive,45,AU,0.2049288382118236,0.1039586997428174,0.08378208598647463,0.02522962962962963,0,0.0,1.0
MAM,archive,45,VA,0.1228517918778335,0.006939564278330087,0.01735227059553693,0.03480139785401342,0,-0.7551682591438293,0.7905038595199585
MAM,archive,45,expression,0.12333312042316039,0.0222960095495095,0.016012112332408537,0.020398066262667623,0,2.394421017015702e-07,0.9997943043708801
MAM,archive,46,AU,0.19745693075771728,0.11266084486382104,0.09417117712004276,0.020889853499728703,0,0.0,1.0
MAM,archive,46,VA,0.12632968200386313,0.006774375484769723,0.02295385350913886,0.03044816629137967,0,-0.6854369044303894,0.8434665203094482
MAM,archive,46,expression,0.1326506626247129,0.029147051316110294,0.021770176740397156,0.01482657566565629,0,2.8833285981022527e-08,0.9999728202819824
MAM,archive,47,AU,0.1885341563786008,0.10077547370827619,0.08357656516995071,0.02128219381137669,0,0.0,1.0
MAM,archive,47,VA,0.09625079863420968,0.01017863196001059,0.02185119829268769,0.03182687314948494,0,-0.7907750606536865,0.7995348572731018
MAM,archive,47,expression,0.1148950466693446,0.025149312342113206,0.01787714734516931,0.018078161260514095,0,2.2336054428251373e-07,0.999879002571106
MAM,archive,48,AU,0.17339988116458702,0.07690112830093958,0.06604087989098695,0.020442541042112777,0,0.0,1.0
MAM,archive,48,VA,0.12979696921850944,0.00529361139384128,0.009479892258799461,0.026481674684786086,0,-0.6141365766525269,0.6918935775756836
MAM,archive,48,expression,0.1318301097800005,0.01993296940770936,0.01448715136554265,0.014295350872792352,0,4.407311493537236e-08,0.999884843826294
MAM,archive,49,AU,0.1733165256017768,0.09596728855078847,0.08528320983856953,0.02199513381995134,0,0.0,1.0
MAM,archive,49,VA,0.13370262942015318,0.00750937152578669,0.015496731780654218,0.03288565371945357,0,-0.7351105809211731,0.8299717903137207
MAM,archive,49,expression,0.1246911494121947,0.022343938921963406,0.015647398372259303,0.01753146156560808,0,2.854494063342372e-08,0.9999525547027588
MAM,archive,50,AU,0.19218100309895603,0.09940736722629617,0.09074278518577235,0.016910569105691057,0,0.0,1.0
MAM,archive,50,VA,0.10663550509954418,0.00463814706977942,0.016289090014948333,0.028537466578849032,0,-0.6282137632369995,0.7091866731643677
MAM,archive,50,expression,0.12719283539182943,0.020952449872109792,0.0153774030177906,0.014763109148120013,0,1.7029248056132928e-07,0.9995854496955872
MAM,archive,51,AU,0.17580638839898097,0.09003271121654642,0.08684610008234588,0.018823183289202707,0,0.0,1.0
MAM,archive,51,VA,0.11540207540156071,0.005777419085913187,0.022979516552961644,0.028655295046549335,0,-0.6619346141815186,0.8828333616256714
MAM,archive,51,expression,0.12482331090020979,0.02254615079503418,0.018135671918274327,0.014020020823196533,0,3.03850669070016e-08,0.9999916553497314
MAM,archive,52,AU,0.19719725343320849,0.10907347845711354,0.09204215702715667,0.018466491074041556,0,0.0,1.0
MAM,archive,52,VA,0.12386756455578604,0.008458812573255719,0.030214962559695347,0.025636620312743698,0,-0.7025125622749329,0.9149011969566345
MAM,archive,52,expression,0.13872663062873183,0.0257208665165897,0.01936236690155893,0.010110905866056093,0,9.112176790893045e-09,0.9999878406524658
