model,source,target_side_mean,candidate_best_mean
T1,10,0.0514774529998955,0.06440286349431307
T1,11,0.07008807091888422,0.09875644795040102
T1,12,0.03695193120406578,0.04549891107800973
T1,13,0.0428193221624915,0.06211260847474063
T1,14,0.029716236618651637,0.03377274825515021
T1,15,0.05856598017600574,0.06805282028127263
T1,16,0.07506403867578766,0.08990364277115945
T1,17,0.04196333641832381,0.05097360560996343
T1,18,0.059013595371210405,0.05811183138122252
T1,19,0.04565560406927501,0.05175719934480103
T1,20,0.06540447454994078,0.10987181629924037
T1,21,0.08161022170433276,0.12530789796084704
T1,22,0.0909639890529126,0.12212525298738283
T1,23,0.08501529529351054,0.09679558845485975
T1,24,0.08802982277999398,0.15331295456906452
T1,25,0.094767978240508,0.13938256119322998
T1,26,0.07798723645007896,0.10091020989444288
T1,27,0.07202319304962293,0.08842858206710927
T1,28,0.09094528834720951,0.11378026803717914
T1,29,0.04603107283483887,0.07200177853376301
T1,30,0.05403924721648018,0.06166189408891569
T1,31,0.05491492217310816,0.0731442025535696
T1,32,0.06533333739727784,0.10776076823747452
T1,33,0.08446842930615629,0.11143891929891062
T1,34,0.0807681757594602,0.1262136180352927
T1,35,0.08545405862168405,0.11644254085947578
T1,36,0.0899702379809124,0.15874333773597296
T1,37,0.07496210402001267,0.12597623468618319
T1,38,0.09566923325719981,0.15392181157610968
T1,39,0.09243115619781928,0.1395619096121036
T1,40,0.06334510630599051,0.0635214937656752
T1,41,0.09241951819161623,0.1906390196623772
T1,42,0.047222121296517275,0.05325864669744847
T1,43,0.07776132177709835,0.15011797219465173
T1,44,0.05334520687394797,0.06353661024021741
T1,45,0.06056315357861972,0.07359331389949636
T1,46,0.04373025399713102,0.0878776190368231
T1,47,0.08521138489472144,0.12904160545888854
T1,48,0.08592918557034004,0.10873653920381773
T1,49,0.03364129629305162,0.06607623499874127
T1,50,0.06354899364498923,0.07152912106947804
T1,51,0.05796681851283888,0.09480617017583638
T1,52,0.04991494669232285,0.0681057234161849
T1,53,0.03103294686369462,0.03175855831089841
T1,54,0.042129850167214836,0.04556375994567361
T1,55,0.05337251448678439,0.06461626716773182
T1,56,0.08389921778750259,0.1472448156271847
T1,57,0.1167363827810269,0.1463724025113639
T1,58,0.09382003686148366,0.18065319238777727
T1,59,0.07923626605591849,0.127550934768013
T1,60,0.06230430457083451,0.07035337524434918
T1,61,0.05212928963096279,0.0750589322748636
T1,62,0.02523912955454786,0.025564338591555824
T1,63,0.04287374464888288,0.05107195438875038
T1,64,0.040497971849927775,0.056338403804660306
T1,65,0.045578484050408624,0.07258150751297902
T1,66,0.04079368162101366,0.059155794710221546
