model,source,candidate,best_CCC
MAM,58,7,0.146410408414993
MAM,58,8,0.11878002763974133
MAM,58,9,0.2323418493250211
MAM,59,0,0.10551545975914546
MAM,59,1,0.08255059311359655
MAM,59,2,0.06235291933150969
MAM,59,3,0.07481744231174126
MAM,59,4,0.09875999535390732
MAM,59,5,0.07839262419082196
MAM,59,6,0.06729537425870734
MAM,59,7,0.08776835321589578
MAM,59,8,0.08328841207292735
MAM,59,9,0.14339339550400468
MAM,60,0,0.09348770781020158
MAM,60,1,0.06881285066998949
MAM,60,2,0.08046529695890328
MAM,60,3,0.08812454736514506
MAM,60,4,0.06092946853505946
MAM,60,5,0.07892498474162474
MAM,60,6,0.07752311376044363
MAM,60,7,0.07437521361233175
MAM,60,8,0.0883602007432909
MAM,60,9,0.11399693737365141
MAM,61,0,0.12819809702881182
MAM,61,1,0.03757000082841811
MAM,61,2,0.1323626216719636
MAM,61,3,0.027678941516969226
MAM,61,4,0.07720075396320927
MAM,61,5,0.07500331729597269
MAM,61,6,0.09689434662000129
MAM,61,7,0.024182126139454953
MAM,61,8,0.05502327143459609
MAM,61,9,0.15187086923307516
MAM,62,0,0.02255451906783171
MAM,62,1,0.01095192889494253
MAM,62,2,0.028397581918514915
MAM,62,3,0.0345970183605231
MAM,62,4,0.03078685250482807
MAM,62,5,0.04096344487316163
MAM,62,6,0.03376121098842981
MAM,62,7,0.01993228922404764
MAM,62,8,0.02297509222015599
MAM,62,9,0.044799221061137526
MAM,63,0,0.06935094240090724
MAM,63,1,0.021697261577188636
MAM,63,2,0.07959664564550556
MAM,63,3,0.02845598761068537
MAM,63,4,0.04304551231717995
MAM,63,5,0.04076697150387158
MAM,63,6,0.04900666944143696
MAM,63,7,0.022644112920292024
MAM,63,8,0.029345948377967182
MAM,63,9,0.07899898348326449
MAM,64,0,0.05532905906115177
MAM,64,1,0.05929598624942491
MAM,64,2,0.07837794675015405
MAM,64,3,0.06822678667952496
MAM,64,4,0.03484017006839293
MAM,64,5,0.021907949243868265
MAM,64,6,0.02912280894684397
MAM,64,7,0.03835273286538517
MAM,64,8,0.06523109565348092
MAM,64,9,0.0618520615460021
MAM,65,0,0.047206590163282956
MAM,65,1,0.05039355529963112
MAM,65,2,0.05482769699122718
MAM,65,3,0.048421938582563655
MAM,65,4,0.0349265109163446
MAM,65,5,0.03165315376984201
MAM,65,6,0.028743960446909952
MAM,65,7,0.037732308393103896
MAM,65,8,0.040191881288169265
MAM,65,9,0.03364778373205757
MAM,66,0,0.08392516447380878
MAM,66,1,0.05290739335434955
MAM,66,2,0.07280572297228032
MAM,66,3,0.04796645979633413
MAM,66,4,0.04778896241541048
MAM,66,5,0.055113427734726106
MAM,66,6,0.03928565224349185
MAM,66,7,0.07548262600182236
MAM,66,8,0.05050471226717687
MAM,66,9,0.07853086310446522
MAM,67,0,0.18959796469325904
MAM,67,1,0.17854334619696413
MAM,67,2,0.10010360694373409
