model,source,group,dimension_weight,total,DC,slow,fast,identity_error,speed,acceleration,total_contribution,DC_contribution,slow_contribution,fast_contribution
A12000,47,expression,0.32,0.09940558932427926,0.00578555774594768,0.0712181705583681,0.022401861019963488,0.0,0.05613773442803009,0.10037537688704244,0.031809788583769365,0.0018513784787032575,0.02278981457867779,0.0071685955263883164
A12000,48,AU,0.6,0.18715402363173825,0.011817739347358887,0.11426772783023266,0.061068556454146695,0.0,0.07517643495966264,0.14562525927336725,0.11229241417904294,0.007090643608415333,0.0685606366981396,0.03664113387248802
A12000,48,VA,0.08,0.06953947854007336,0.012839578834961148,0.04694705513739626,0.009752844567715961,0.0,0.06623338209336183,0.11393781044900154,0.005563158283205869,0.0010271663067968919,0.003755764410991701,0.0007802275654172769
A12000,48,expression,0.32,0.09687968250338355,0.009167454445135328,0.06756800181748777,0.020144226240760427,2.7755575615628914e-17,0.047486469925342556,0.08476918034527069,0.031001498401082735,0.002933585422443305,0.021621760581596088,0.006446152397043337
A12000,49,AU,0.6,0.2354972307493997,0.015280077006337964,0.14336950920142344,0.07684764454163834,2.7755575615628914e-17,0.09562859995987243,0.18529680192040607,0.14129833844963982,0.00916804620380278,0.08602170552085406,0.046108586724983
A12000,49,VA,0.08,0.06289528433814756,0.006957912516076783,0.04759913261350529,0.008338239208565494,0.0,0.06186451143279849,0.10602734459749995,0.005031622747051805,0.0005566330012861426,0.0038079306090804234,0.0006670591366852395
A12000,49,expression,0.32,0.10239387812865043,0.01429829045749453,0.06937209723718826,0.018723490433967618,1.3877787807814457e-17,0.04621815963667421,0.08217578446185388,0.03276604100116814,0.0045754529463982495,0.022199071115900245,0.005991516938869638
A12000,50,AU,0.6,0.13323907123994838,0.008022972680522239,0.07554446252756106,0.049671636031865085,0.0,0.06139045428024055,0.11871750859735541,0.07994344274396903,0.004813783608313344,0.045326677516536636,0.02980298161911905
A12000,50,VA,0.08,0.03646611307212509,0.0038650342868019887,0.02652781977467551,0.006073259010647591,6.938893903907228e-18,0.0561878780923613,0.09719716385072028,0.0029172890457700076,0.0003092027429441591,0.0021222255819740407,0.00048586072085180724
A12000,50,expression,0.32,0.05068140770215772,0.004463194344189651,0.03577825740485503,0.010439955953113032,0.0,0.026985578315584166,0.04848058371846567,0.01621805046469047,0.0014282221901406884,0.01144904236955361,0.00334078590499617
A12000,51,AU,0.6,0.167996998158041,0.014046833457651888,0.09460729241869303,0.05934287228169608,0.0,0.07411175228608671,0.14338104606940377,0.1007981988948246,0.008428100074591133,0.056764375451215814,0.03560572336901765
A12000,51,VA,0.08,0.0609753168955601,0.005215998867089465,0.04591431349219922,0.009845004536271417,0.0,0.06935690596733461,0.11921570582974719,0.004878025351644808,0.0004172799093671572,0.0036731450793759373,0.0007876003629017134
A12000,51,expression,0.32,0.10343004343805959,0.013214096020616859,0.06939811669026005,0.020817830727182678,0.0,0.05053143951565394,0.09112114566018509,0.03309761390017907,0.004228510726597395,0.022207397340883218,0.006661705832698457
A12000,52,AU,0.6,0.1085492836756356,0.0012007618876699524,0.05431326982767457,0.05303525196029108,0.0,0.06728826019235003,0.13081694463881627,0.06512957020538136,0.0007204571326019714,0.03258796189660474,0.03182115117617465
A12000,52,VA,0.08,0.03555810198280994,0.0014489989008451452,0.02612147368774878,0.007987629394216017,0.0,0.06707827437774126,0.11593936059016491,0.002844648158624795,0.00011591991206761162,0.0020897178950199024,0.0006390103515372813
